epoch,1_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,2_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,3_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,4_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,5_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
68,0.000193,0.001002,0.000000,3738,9084,16008,0.000190,0.000988,0.000000,1669,9781,16498,0.000189,0.000996,0.000000,1691,6841,19761,2.000000,2.000000,2.000000,1887,7455,15341,2.000000,2.000000,2.000000,1793,7193,20796
69,0.000190,0.000987,0.000000,3785,9210,16361,0.000187,0.000973,0.000000,1686,9881,16736,0.000187,0.000981,0.000000,1723,6957,20012,2.000000,2.000000,2.000000,1917,7543,15592,2.000000,2.000000,2.000000,1808,7291,21090
70,0.000187,0.000973,0.000000,3817,9335,16653,0.000184,0.000959,0.000000,1716,9981,16956,0.000184,0.000967,0.000000,1754,7072,20281,2.000000,2.000000,2.000000,1933,7639,15811,2.000000,2.000000,2.000000,1840,7391,21360
71,0.000184,0.000959,0.000000,3849,9620,16936,0.000182,0.000945,0.000000,1732,10098,17198,0.000181,0.000953,0.000000,1784,7178,20543,2.000000,2.000000,2.000000,1971,7760,16061,2.000000,2.000000,2.000000,1861,7505,21620
72,0.000182,0.000945,0.000000,3897,9825,17173,0.000179,0.000932,0.000000,1763,10196,17419,0.000179,0.000939,0.000000,1796,7302,20799,2.000000,2.000000,2.000000,1996,7884,16282,2.000000,2.000000,2.000000,1885,7602,21937
73,0.000179,0.000932,0.000000,3929,9985,17439,0.000177,0.000919,0.000000,1779,10289,17650,0.000176,0.000926,0.000000,1837,7397,21067,2.000000,2.000000,2.000000,2033,7978,16510,2.000000,2.000000,2.000000,1913,7698,22287
74,0.000177,0.000919,0.000000,3961,10159,17755,0.000174,0.000906,0.000000,1811,10383,17883,0.000174,0.000913,0.000000,1862,7493,21350,2.000000,2.000000,2.000000,2059,8088,16744,2.000000,2.000000,2.000000,1940,7805,22654
75,0.000175,0.000906,0.000000,3991,10318,18054,0.000172,0.000894,0.000000,1827,10478,18116,0.000172,0.000901,0.000000,1882,7601,21601,2.000000,2.000000,2.000000,2074,8186,16973,2.000000,2.000000,2.000000,1963,7900,23061
76,0.000172,0.000894,0.000000,4028,10476,18306,0.000170,0.000882,0.000000,1858,10596,18351,0.000170,0.000889,0.000000,1909,7693,21826,2.000000,2.000000,2.000000,2105,8289,17214,2.000000,2.000000,2.000000,1979,8011,23352
77,0.000170,0.000882,0.000000,4054,10631,18541,0.000167,0.000870,0.000000,1875,10714,18555,0.000167,0.000877,0.000000,1940,7822,22029,2.000000,2.000000,2.000000,2136,8406,17431,2.000000,2.000000,2.000000,1995,8108,23604
78,0.000168,0.000870,0.000000,4085,10790,18765,0.000165,0.000858,0.000000,1906,10831,18759,0.000165,0.000865,0.000000,1972,7940,22266,2.000000,2.000000,2.000000,2168,8522,17651,2.000000,2.000000,2.000000,2026,8211,23889
79,0.000166,0.000859,0.000000,4117,10947,18983,0.000163,0.000847,0.000000,1922,10931,18980,0.000163,0.000854,0.000000,1988,8040,22469,2.000000,2.000000,2.000000,2183,8623,17887,2.000000,2.000000,2.000000,2041,8308,24204
80,0.000164,0.000848,0.000000,4149,11121,19237,0.000161,0.000837,0.000000,1958,11048,19200,0.000161,0.000843,0.000000,2020,8140,22674,2.000000,2.000000,2.000000,2215,8733,18108,2.000000,2.000000,2.000000,2074,8408,24552
81,0.000162,0.000837,0.000000,4180,11296,19505,0.000159,0.000826,0.000000,1985,11168,19432,0.000159,0.000833,0.000000,2053,8258,22902,2.000000,2.000000,2.000000,2253,8844,18342,2.000000,2.000000,2.000000,2100,8508,24943
82,0.000160,0.000827,0.000000,4211,11439,19742,0.000157,0.000816,0.000000,2001,11276,19666,0.000157,0.000822,0.000000,2078,8354,23105,2.000000,2.000000,2.000000,2276,8937,18546,2.000000,2.000000,2.000000,2116,8605,25365
83,0.000158,0.000816,0.000000,4243,11582,20012,0.000155,0.000806,0.000000,2032,11371,19895,0.000155,0.000812,0.000000,2103,8452,23402,2.000000,2.000000,2.000000,2306,9034,18759,2.000000,2.000000,2.000000,2151,8699,25695
84,0.000156,0.000806,0.000000,4275,11722,20268,0.000153,0.000796,0.000000,2058,11482,20129,0.000153,0.000802,0.000000,2128,8559,23683,2.000000,2.000000,2.000000,2332,9134,18990,2.000000,2.000000,2.000000,2175,8794,26040
85,0.000154,0.000797,0.000000,4306,11848,20516,0.000152,0.000786,0.000000,2079,11579,20365,0.000152,0.000793,0.000000,2145,8654,23933,2.000000,2.000000,2.000000,2352,9220,19290,2.000000,2.000000,2.000000,2197,8889,26381
86,0.000152,0.000787,0.000000,4338,11982,20752,0.000150,0.000777,0.000000,2096,11680,20600,0.000150,0.000783,0.000000,2175,8741,24163,2.000000,2.000000,2.000000,2383,9334,19553,2.000000,2.000000,2.000000,2228,8991,26665
87,0.000150,0.000778,0.000000,4369,12101,20972,0.000148,0.000768,0.000000,2127,11781,20836,0.000148,0.000774,0.000000,2192,8841,24414,2.000000,2.000000,2.000000,2399,9434,19774,2.000000,2.000000,2.000000,2244,9108,26949
88,0.000149,0.000769,0.000000,4400,12212,21194,0.000146,0.000759,0.000000,2142,11884,21088,0.000146,0.000765,0.000000,2223,8943,24650,2.000000,2.000000,2.000000,2430,9552,19996,2.000000,2.000000,2.000000,2275,9212,27185
89,0.000147,0.000760,0.000000,4449,12321,21398,0.000145,0.000750,0.000000,2174,11981,21310,0.000145,0.000756,0.000000,2240,9042,24886,2.000000,2.000000,2.000000,2446,9662,20264,2.000000,2.000000,2.000000,2291,9307,27469
90,0.000145,0.000751,0.000000,4488,12431,21618,0.000143,0.000742,0.000000,2189,12081,21515,0.000143,0.000748,0.000000,2270,9155,25107,2.000000,2.000000,2.000000,2477,9772,20507,2.000000,2.000000,2.000000,2323,9424,27802
91,0.000144,0.000743,0.000000,4512,12557,21854,0.000142,0.000734,0.000000,2221,12197,21812,0.000142,0.000739,0.000000,2301,9261,25378,2.000000,2.000000,2.000000,2507,9893,20744,2.000000,2.000000,2.000000,2354,9541,28150
92,0.000142,0.000734,0.000000,4560,12684,22075,0.000140,0.000725,0.000000,2252,12296,22100,0.000140,0.000731,0.000000,2314,9354,25614,2.000000,2.000000,2.000000,2531,9988,21011,2.000000,2.000000,2.000000,2374,9637,28402
93,0.000141,0.000726,0.000000,4591,12794,22313,0.000139,0.000717,0.000000,2268,12391,22350,0.000139,0.000723,0.000000,2352,9448,25850,2.000000,2.000000,2.000000,2555,10082,21260,2.000000,2.000000,2.000000,2403,9748,28687
94,0.000139,0.000718,0.000000,4628,12904,22573,0.000137,0.000710,0.000000,2284,12485,22600,0.000137,0.000715,0.000000,2375,9542,26099,2.000000,2.000000,2.000000,2579,10177,21512,2.000000,2.000000,2.000000,2428,9857,28954
95,0.000138,0.000711,0.000000,4654,12999,22815,0.000136,0.000702,0.000000,2315,12579,22834,0.000136,0.000707,0.000000,2394,9637,26355,2.000000,2.000000,2.000000,2602,10272,21762,2.000000,2.000000,2.000000,2446,9975,29238
96,0.000136,0.000703,0.000000,4685,13109,23051,0.000134,0.000695,0.000000,2331,12681,23074,0.000134,0.000700,0.000000,2410,9724,26610,2.000000,2.000000,2.000000,2617,10372,21999,2.000000,2.000000,2.000000,2474,10091,29552
97,0.000135,0.000696,0.000000,4732,13219,23287,0.000133,0.000687,0.000000,2362,12781,23300,0.000133,0.000693,0.000000,2441,9824,26846,2.000000,2.000000,2.000000,2635,10466,22221,2.000000,2.000000,2.000000,2493,10191,29919
98,0.000133,0.000688,0.000000,4781,13329,23602,0.000132,0.000680,0.000000,2378,12881,23531,0.000132,0.000685,0.000000,2457,9924,27084,2.000000,2.000000,2.000000,2665,10561,22457,2.000000,2.000000,2.000000,2510,10308,30279
99,0.000132,0.000681,0.000000,4812,13439,23874,0.000130,0.000673,0.000000,2409,12981,23767,0.000130,0.000678,0.000000,2488,10025,27321,2.000000,2.000000,2.000000,2680,10655,22677,2.000000,2.000000,2.000000,2540,10408,30659
100,0.000131,0.000674,0.000000,4843,13549,24108,0.000129,0.000666,0.000000,2425,13081,24003,0.000129,0.000671,0.000000,2504,10124,27558,2.000000,2.000000,2.000000,2712,10766,22929,2.000000,2.000000,2.000000,2556,10524,30974
epoch,gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
1,2.000000,2.000000,2.000000,43,131,253
2,2.000000,2.000000,2.000000,90,251,493
3,2.000000,2.000000,2.000000,157,361,761
4,2.000000,2.000000,2.000000,209,471,1082
5,2.000000,2.000000,2.000000,262,581,1519
6,2.000000,2.000000,2.000000,311,688,2080
7,2.000000,2.000000,2.000000,346,813,2353
8,2.000000,2.000000,2.000000,400,922,2630
9,2.000000,2.000000,2.000000,448,1036,2892
10,2.000000,2.000000,2.000000,495,1166,3262
11,2.000000,2.000000,2.000000,543,1290,3569
12,2.000000,2.000000,2.000000,586,1400,3855
13,2.000000,2.000000,2.000000,625,1532,4202
14,2.000000,2.000000,2.000000,673,1655,4455
15,2.000000,2.000000,2.000000,705,1765,4706
16,2.000000,2.000000,2.000000,736,1891,4973
17,2.000000,2.000000,2.000000,797,2015,5206
18,2.000000,2.000000,2.000000,841,2138,5471
19,2.000000,2.000000,2.000000,887,2250,5723
20,2.000000,2.000000,2.000000,925,2377,5988
21,2.000000,2.000000,2.000000,979,2487,6255
22,2.000000,2.000000,2.000000,1020,2604,6589
23,2.000000,2.000000,2.000000,1043,2720,6885
24,2.000000,2.000000,2.000000,1090,2845,7203
25,2.000000,2.000000,2.000000,1137,2955,7557
26,2.000000,2.000000,2.000000,1169,3076,7964
27,2.000000,2.000000,2.000000,1216,3205,8395
28,2.000000,2.000000,2.000000,1257,3344,8712
29,2.000000,2.000000,2.000000,1298,3473,9096
30,2.000000,2.000000,2.000000,1329,3605,9439
31,2.000000,2.000000,2.000000,1444,3755,9835
32,2.000000,2.000000,2.000000,1515,3906,10245
33,2.000000,2.000000,2.000000,1594,4099,10740
34,2.000000,2.000000,2.000000,1642,4284,11199
35,2.000000,2.000000,2.000000,1673,4475,11583
36,2.000000,2.000000,2.000000,1705,4736,11968
37,2.000000,2.000000,2.000000,1755,4958,12433
38,2.000000,2.000000,2.000000,1790,5172,12745
39,2.000000,2.000000,2.000000,1809,5316,13087
40,2.000000,2.000000,2.000000,1856,5459,13419
41,2.000000,2.000000,2.000000,1896,5587,13703
